"","Primkey","ID","SubID","Location","Side_A","Side_B","Incompability","Territory","Begin","End","Intensity","Type","Startdate","Startprecision","Startdate2","Startprecision2","COW_A","COW_B","COW_location","Continent","Lat","Lon","Radius","Version"
"1",101001946,1010,0,"Bolivia","Bolivia","Popular Revolutionary Movement",2,"",1946,1946,3,3,"01-Jun-46",4,"01-Jun-46",4,"145","","145",5,-16.5,-68.15,50,1.1
"2",101011951,1010,1,"Bolivia","Bolivia","MNR",2,"",1951,1951,1,3,"09-Apr-51",1,"09-Apr-51",1,"145","","145",5,-16.5,-68.15,50,1.1
"3",101011967,1010,1,"Bolivia","Bolivia","ELN",2,"",1967,1967,1,3,"01-Mar-67",3,"01-Mar-67",3,"145","","145",5,-21,-66,250,1.1
"4",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.1",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.2",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.3",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.4",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.5",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.6",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.7",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"5",103001946,1030,0,"China","China","Peoples Liberation Army",2,"",1946,1949,3,3,"01-Jan-46",7,"01-Jan-46",7,"710","","710",3,35,110,2000,1.1
"5.1",103001946,1030,0,"China","China","Peoples Liberation Army",2,"",1946,1949,3,3,"01-Jan-46",7,"01-Jan-46",7,"710","","710",3,35,110,2000,1.1
"5.2",103001946,1030,0,"China","China","Peoples Liberation Army",2,"",1946,1949,3,3,"01-Jan-46",7,"01-Jan-46",7,"710","","710",3,35,110,2000,1.1
"5.3",103001946,1030,0,"China","China","Peoples Liberation Army",2,"",1946,1949,3,3,"01-Jan-46",7,"01-Jan-46",7,"710","","710",3,35,110,2000,1.1
"6",104001946,1040,0,"Greece","Greece","DSE",2,"",1946,1949,3,3,"01-Mar-46",4,"01-Mar-46",4,"350","","350",1,39.5,22.5,200,1.1
