"ID","...1","ccode","year","country.x","GPCP","GPCP_L","GPCP_L2","GPCP_G","GPCP_G_L","GPCP_G_FL","TOT_100","TOT_100_L","TOT_100_G","country.y","cname","cmark","wars","war","warl","onset","ethonset","durest","aim","casename","ended","ethwar","waryrs","pop","lpop","polity2","gdpen","gdptype","gdpenl","lgdpenl1","lpopl1","region","western","eeurop","lamerica","ssafrica","asia","nafrme","colbrit","colfra","mtnest","lmtnest","elevdiff","Oil","ncontig","ethfrac","ef","plural","second","numlang","relfrac","plurrel","minrelpc","muslim","nwstate","polity2l","instab","anocl","deml","empethfrac","empwarl","emponset","empgdpenl","emplpopl","emplmtnest","empncontig","empolity2l","sdwars","sdonset","colwars","colonset","cowwars","cowonset","cowwarl","sdwarl","colwarl","GDP_G","GDP_G_L","POLITY2L_6","Y_0","Location","Type3","Type1","Type4","Type2","WAR_PRIO","WAR_PRIO_ON","WAR_PRIO_OFF","MINOR_PRIO","MINOR_PRIO_ON","MINOR_PRIO_OFF","ANY_PRIO","ANY_PRIO_ON","ANY_PRIO_OFF","Iccode.data_420","Iccode.data_432","Iccode.data_433","Iccode.data_434","Iccode.data_435","Iccode.data_436","Iccode.data_437","Iccode.data_438","Iccode.data_439","Iccode.data_450","Iccode.data_451","Iccode.data_452","Iccode.data_461","Iccode.data_471","Iccode.data_475","Iccode.data_481","Iccode.data_482","Iccode.data_483","Iccode.data_484","Iccode.data_490","Iccode.data_500","Iccode.data_501","Iccode.data_510","Iccode.data_516","Iccode.data_517","Iccode.data_520","Iccode.data_522","Iccode.data_530","Iccode.data_540","Iccode.data_541","Iccode.data_551","Iccode.data_552","Iccode.data_553","Iccode.data_560","Iccode.data_565","Iccode.data_570","Iccode.data_571","Iccode.data_572","Iccode.data_580","Iccode.data_625","Iccyear.data_420","Iccyear.data_432","Iccyear.data_433","Iccyear.data_434","Iccyear.data_435","Iccyear.data_436","Iccyear.data_437","Iccyear.data_438","Iccyear.data_439","Iccyear.data_450","Iccyear.data_451","Iccyear.data_452","Iccyear.data_461","Iccyear.data_471","Iccyear.data_475","Iccyear.data_481","Iccyear.data_482","Iccyear.data_483","Iccyear.data_484","Iccyear.data_490","Iccyear.data_500","Iccyear.data_501","Iccyear.data_510","Iccyear.data_516","Iccyear.data_517","Iccyear.data_520","Iccyear.data_522","Iccyear.data_530","Iccyear.data_540","Iccyear.data_541","Iccyear.data_551","Iccyear.data_552","Iccyear.data_553","Iccyear.data_560","Iccyear.data_565","Iccyear.data_570","Iccyear.data_571","Iccyear.data_572","Iccyear.data_580","Iccyear.data_625","year_actual"
1,3,404,3,"Guinea-Bissau",1633.37132340483,1349.66547130002,1514.52093442855,0.210204571531008,-0.108849907175921,-0.126801909063444,163.48,122.67,0.332681177141925,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,824,6.71417045593262,-7,0.573000013828278,0,0.470999985933304,6.15485811233521,6.69579887390137,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-7,0,0,0,0.803756952285767,0,0,0.470999985933304,6.69579887390137,0,0,-7,0,0,0,0,0,0,0,0,0,0.216560575246848,-0.152877714423424,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981
2,4,404,4,"Guinea-Bissau",1426.25672138762,1633.37132340483,1349.66547130002,-0.126801909063444,0.210204571531008,-0.0635076631699473,153.59,163.48,-0.0604966968436505,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,839,6.73221063613892,-7,0.633000016212463,0,0.573000013828278,6.35088586807251,6.71417045593262,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-7,0,0,0,0.803756952285767,0,0,0.573000013828278,6.71417045593262,0,0,-7,0,0,0,0,0,0,0,0,0,0.104712043518671,0.216560575246848,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982
3,5,404,5,"Guinea-Bissau",1335.67848993186,1426.25672138762,1633.37132340483,-0.0635076631699473,-0.126801909063444,0.0153440774783843,157.21,153.59,0.0235692427892441,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,854,6.74993133544922,-7,0.606000006198883,0,0.633000016212463,6.45047044754028,6.73221063613892,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-7,0,0,0,0.803756952285767,0,0,0.633000016212463,6.73221063613892,0,0,-7,0,0,0,0,0,0,0,0,0,-0.0426540431628013,0.104712043518671,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983
4,6,404,6,"Guinea-Bissau",1356.17324416758,1335.67848993186,1426.25672138762,0.0153440774783843,-0.0635076631699473,0.00808813510802102,261.86,157.21,0.665670122765727,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,870,6.76849317550659,-8,0.626999974250793,0,0.606000006198883,6.40687990188599,6.74993133544922,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-7,0,0,0,0.803756952285767,0,0,0.606000006198883,6.74993133544922,0,0,-7,0,0,0,0,0,0,0,0,0,0.0346534122724389,-0.0426540431628013,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984
5,7,404,7,"Guinea-Bissau",1367.1421565963,1356.17324416758,1335.67848993186,0.00808813510802102,0.0153440774783843,0.037804581124961,241.56,261.86,-0.0775223401817766,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,886,6.7867169380188,-8,0.649999976158142,0,0.626999974250793,6.44094657897949,6.76849317550659,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-8,0,0,0,0.803756952285767,0,0,0.626999974250793,6.76849317550659,0,0,-8,0,0,0,0,0,0,0,0,0,0.0366826201784641,0.0346534122724389,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
6,8,404,8,"Guinea-Bissau",1418.82639316469,1367.1421565963,1356.17324416758,0.037804581124961,0.00808813510802102,0.0580203483360773,207.73,241.56,-0.140048021195562,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,903,6.80572271347046,-8,0.626999974250793,0,0.649999976158142,6.47697257995605,6.7867169380188,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-8,0,0,0,0.803756952285767,0,0,0.649999976158142,6.7867169380188,0,0,-8,0,0,0,0,0,0,0,0,0,-0.035384619616898,0.0366826201784641,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986
7,9,404,9,"Guinea-Bissau",1501.14719472453,1418.82639316469,1367.1421565963,0.0580203483360773,0.037804581124961,0.0555441204233738,199.58,207.73,-0.0392336205651566,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,921,6.8254599571228,-8,0.626999974250793,0,0.626999974250793,6.44094657897949,6.80572271347046,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-8,0,0,0,0.803756952285767,0,0,0.626999974250793,6.80572271347046,0,0,-8,0,0,0,0,0,0,0,0,0,0,-0.035384619616898,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987
8,10,404,10,"Guinea-Bissau",1584.52709528152,1501.14719472453,1418.82639316469,0.0555441204233738,0.0580203483360773,0.101143316929683,151.61,199.58,-0.240354744964425,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,939,6.84481525421143,-8,0.653999984264374,0,0.626999974250793,6.44094657897949,6.8254599571228,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-8,0,0,0,0.803756952285767,0,0,0.626999974250793,6.8254599571228,0,0,-8,0,0,0,0,0,0,0,0,0,0.04306221869601,0,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988
9,11,404,11,"Guinea-Bissau",1744.79142146325,1584.52709528152,1501.14719472453,0.101143316929683,0.0555441204233738,-0.246465562745294,158.46,151.61,0.0451817162456302,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,959,6.86589097976685,-8,0.698000013828278,0,0.653999984264374,6.4831075668335,6.84481525421143,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-8,0,0,0,0.803756952285767,0,0,0.653999984264374,6.84481525421143,0,0,-8,0,0,0,0,0,0,0,0,0,0.067278334285276,0.04306221869601,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
10,12,404,12,"Guinea-Bissau",1314.76042189915,1744.79142146325,1584.52709528152,-0.246465562745294,0.101143316929683,0.145605408921802,142.98,158.46,-0.0976902688375616,"GUINEA BISSAU","GUINEA B",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,980,6.8875527381897,-6,0.689000010490417,0,0.698000013828278,6.54821920394897,6.86589097976685,6,0,0,0,1,0,0,0,0,0,0,300,0,0,0.803756952285767,0.817700028419495,0.270000010728836,0.219999998807907,13,0.544999957084656,50,45,45,0,-8,0,0,0,0.803756952285767,0,0,0.698000013828278,6.86589097976685,0,0,-8,0,0,0,0,0,0,0,0,0,-0.012893987334611,0.067278334285276,0,0.555999994277954,"Guinea-Bissau",0,0,0,0,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
